"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
345427000,840,28781100000000,25744100000000,"United States",83320.35422824504,"North America",1
1419320000,156,18532600000000,17963200000000,"China",13057.379590226306,"Asia",2
84552200,276,4591100000000,4076920000000,"Germany",54299.001090450634,"Europe",3
123753000,392,4110450000000,4232170000000,"Japan",33214.952364791156,"Asia",4
1450940000,356,3937010000000,3465540000000,"India",2713.420265483066,"Asia",5
69138200,826,3495260000000,3089070000000,"United Kingdom",50554.68612142058,"Europe",6
66548500,250,3130010000000,2775320000000,"France",47033.51690872071,"Europe",7
211999000,76,2331390000000,1920100000000,"Brazil",10997.174514974127,"South America",8
59342900,380,2328030000000,2046950000000,"Italy",39230.13536581461,"Europe",9
39742400,124,2242180000000,2137940000000,"Canada",56417.83083054874,"North America",10
144820000,643,2056840000000.0002,2240420000000,"Russia",14202.73442894628,"Asia, Europe",11
130861000,484,2017030000000,1463320000000,"Mexico",15413.530387204744,"North America",12
26713200,36,1790350000000,1776580000000,"Australia",67021.17305302247,"Oceania",13
51717600,410,1760950000000,1673920000000,"South Korea",34049.33716955157,"Asia",14
47910500,724,1647110000000,1415870000000,"Spain",34378.89397939909,"Europe",15
283488000,360,1475690000000,1319100000000,"Indonesia",5205.476069533807,"Asia",16
18228700,528,1142510000000,1008030000000,"Netherlands",62676.43880254763,"Europe",17
87473800,792,1113560000000,907118000000,"Turkey",12730.211789130002,"Asia",18
33962800,682,1106020000000,1108150000000,"Saudi Arabia",32565.63063116115,"Asia",19
8921980,756,938458000000,818427000000,"Switzerland",105184.94773581649,"Europe",20
38539200,616,844623000000,688125000000,"Poland",21915.94532320339,"Europe",21
23214000,158,802958000000,0,"Taiwan",34589.385715516495,"Asia",22
11738800,56,655192000000,582643000000,"Belgium",55814.222918867345,"Europe",23
10607000,752,623048000000,591189000000,"Sweden",58739.32308852644,"Europe",24
45696200,32,604260000000,631133000000,"Argentina",13223.419015147869,"South America",25
5255020,372,564020000000,532416000000,"Ireland",107329.75326449757,"Europe",26
71668000,764,548890000000,495341000000,"Thailand",7658.787743483842,"Asia",27
9120810,40,540886999999.99994,470302000000,"Austria",59302.51808775755,"Europe",28
9387020,376,530664000000,525002000000,"Israel",56531.67885015692,"Asia",29
11027100,784,527796000000.00006,507064000000,"United Arab Emirates",47863.536197186935,"Asia",30
5576660,578,526951000000,579422000000,"Norway",94492.2229434823,"Europe",31
5832390,702,525227999999.99994,466789000000,"Singapore",90053.64867575727,"Asia",32
115844000,608,471516000000,404284000000,"Philippines",4070.266910672974,"Asia",33
100988000,704,465814000000,408802000000,"Vietnam",4612.567829841169,"Asia",34
91567700,364,464181000000,398048000000,"Iran",5069.265690849503,"Asia",35
173562000,50,455162000000,432677000000,"Bangladesh",2622.4749657183024,"Asia",36
35557700,458,445519000000,406306000000,"Malaysia",12529.46619157032,"Asia",37
5977410,208,409989000000,400167000000,"Denmark",68589.74037250248,"Europe",38
7414910,344,406775000000,359839000000,"Hong Kong",54859.06100006608,"Asia",39
52886400,170,386076000000,343939000000,"Colombia",7300.099836630968,"South America",40
